d w z t
102 11 1 1
176 43 2 0
176 6 2 0
176 27 0 1
157 33 3 0
157 43 0 1
157 37 2 2
157 4 0 1
150 18 0 1
150 8 0 0
150 11 0 1
150 2 0 0
150 34 0 0
150 43 0 0
42 6 3 1
42 19 0 0
42 8 0 0
42 6 3 1
42 27 0 0
42 28 0 0
42 43 0 0
9 15 2 0
9 32 2 0
9 32 2 0
9 34 2 0
9 13 2 0
9 34 2 0
9 43 2 0
74 43 0 0
74 8 0 1
89 35 3 0
89 43 3 0
89 21 3 0
138 19 0 1
138 21 3 0
138 43 0 1
138 21 3 0
138 5 3 0
138 13 3 0
138 4 0 1
66 9 0 0
66 34 0 0
66 43 0 0
98 28 0 0
98 43 0 0
98 28 0 0
50 43 0 0
193 23 1 0
193 43 1 0
81 9 0 0
81 43 1 1
81 8 0 0
81 9 1 1
81 30 1 1
46 22 2 0
46 1 2 0
46 43 2 0
137 9 0 0
137 43 0 0
137 11 0 0
44 43 3 0
103 43 2 0
103 1 2 0
103 40 4 1
103 20 2 0
168 25 0 0
168 43 0 0
168 40 4 1
160 23 1 0
160 23 1 0
160 2 1 0
160 43 0 1
160 21 1 0
160 19 0 1
160 23 1 0
75 43 0 0
75 31 4 1
58 28 0 0
58 19 0 0
58 43 0 0
58 19 0 0
58 19 0 0
58 27 0 0
199 27 0 0
199 17 0 0
199 24 0 0
199 17 0 0
199 43 0 0
163 5 0 0
163 43 2 1
163 6 0 0
163 28 0 0
76 17 0 0
76 43 2 1
153 43 0 0
152 43 1 0
152 30 1 0
30 9 1 0
30 43 1 0
30 12 1 0
30 24 1 0
30 3 1 0
30 10 1 0
30 42 1 0
30 2 1 0
161 43 0 0
161 19 0 0
161 19 0 0
161 27 0 0
161 28 0 0
161 19 0 0
156 36 2 0
156 20 2 0
156 13 2 0
156 39 2 0
156 4 2 0
156 38 2 0
156 43 2 0
110 22 2 0
110 39 2 0
110 39 2 0
110 32 2 0
110 29 2 0
110 18 2 0
110 43 2 0
110 10 2 0
110 34 2 0
55 43 0 1
55 26 2 0
55 9 2 0
55 22 2 0
55 4 2 0
55 20 2 0
55 39 2 0
55 20 2 0
55 34 2 0
55 7 2 0
174 40 4 0
174 40 4 0
174 10 4 0
174 40 4 0
174 31 4 0
174 43 4 0
174 40 4 0
18 43 0 0
18 19 0 0
18 9 0 0
18 8 0 0
24 9 0 0
24 43 0 1
116 33 1 0
116 2 1 0
116 7 1 0
116 43 1 0
116 2 1 0
116 9 1 0
192 43 3 0
192 35 3 0
192 21 3 0
19 20 2 0
19 22 2 0
19 34 2 0
19 36 2 0
19 14 2 0
19 34 2 0
19 43 0 1
19 34 2 0
19 22 2 0
19 22 2 0
67 43 0 0
164 8 0 0
164 2 1 1
164 24 0 0
164 9 0 0
164 43 0 0
164 8 0 0
164 8 0 0
164 17 0 0
164 39 1 1
25 43 2 0
25 13 2 0
25 34 2 0
25 26 2 0
25 29 2 0
25 3 2 0
25 32 2 0
38 43 0 0
45 43 2 0
45 7 2 0
45 9 0 1
45 13 2 0
45 22 2 0
28 43 0 1
28 8 0 1
28 11 0 0
28 8 0 0
28 25 0 2
77 37 2 0
77 10 1 1
77 43 1 1
77 29 2 0
77 36 2 0
0 1 2 0
0 20 2 0
0 43 0 1
0 40 1 2
142 30 1 0
142 3 1 0
142 2 1 0
142 23 1 0
142 30 1 0
142 23 1 0
142 43 1 0
170 43 0 0
37 25 4 0
37 10 4 0
37 43 1 1
113 12 1 1
113 43 0 0
113 9 0 0
113 9 1 1
115 7 2 0
115 7 2 0
115 2 1 1
115 43 2 0
115 15 2 0
115 37 2 0
115 22 2 0
85 31 0 0
85 43 0 0
53 39 2 0
53 36 2 1
