time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00085 0005 00384 -3731.39286 0.10000 1.00000 0 0 0
    0.00 00086 0005 00389 -3783.33788 0.10000 1.00000 0 0 0
    0.00 00087 0005 00395 -3745.71638 0.10000 1.00000 0 0 0
    0.00 00088 0005 00369 -3691.92895 0.10000 1.00000 0 0 0
    0.00 00089 0004 00361 -3662.09030 0.10000 1.00000 0 0 0
    0.00 00090 0004 00355 -3652.87111 0.10000 1.00000 0 0 0
    0.00 00091 0004 00382 -3706.64848 0.10000 1.00000 0 0 0
    0.00 00092 0004 00377 -3677.97209 0.10000 1.00000 0 0 0
    0.00 00093 0004 00380 -3692.03473 0.10000 1.00000 0 0 0
    0.00 00094 0004 00382 -3716.13037 0.10000 1.00000 0 0 0
    0.00 00095 0004 00386 -3782.46316 0.10000 1.00000 0 0 0
    0.00 00096 0004 00399 -3746.49228 0.10000 1.00000 0 0 0
    0.00 00097 0004 00387 -3712.06696 0.10000 1.00000 0 0 0
    0.00 00098 0004 00380 -3701.69609 0.10000 1.00000 0 0 0
    0.00 00099 0004 00375 -3718.92633 0.10000 1.00000 0 0 0
    0.00 00100 0004 00397 -3739.54247 0.10000 1.00000 0 0 0
    0.00 00101 0004 00380 -3713.42975 0.10000 1.00000 0 0 0
    0.00 00102 0004 00388 -3749.85068 0.10000 1.00000 0 0 0
    0.00 00103 0004 00388 -3762.86447 0.10000 1.00000 0 0 0
    0.00 00104 0004 00378 -3724.15655 0.10000 1.00000 0 0 0
    0.00 00105 0004 00382 -3735.56530 0.10000 1.00000 0 0 0
    0.00 00106 0004 00389 -3720.82724 0.10000 1.00000 0 0 0
    0.00 00107 0004 00390 -3698.48707 0.10000 1.00000 0 0 0
    0.00 00108 0004 00389 -3721.96221 0.10000 1.00000 0 0 0
    0.00 00109 0004 00362 -3649.97869 0.10000 1.00000 0 0 0
    0.00 00110 0004 00382 -3737.10968 0.10000 1.00000 0 0 0
    0.00 00111 0004 00379 -3750.58873 0.10000 1.00000 0 0 0
    0.00 00112 0004 00405 -3767.12831 0.10000 1.00000 0 0 0
    0.00 00113 0004 00381 -3728.16788 0.10000 1.00000 0 0 0
    0.00 00114 0004 00378 -3696.31607 0.10000 1.00000 0 0 0
    0.00 00115 0006 00384 -3741.29386 0.10000 1.00000 0 0 0
    0.00 00116 0005 00382 -3695.83749 0.10000 1.00000 0 0 0
    0.00 00117 0005 00373 -3687.56412 0.10000 1.00000 0 0 0
    0.00 00118 0005 00402 -3745.46148 0.10000 1.00000 0 0 0
    0.00 00119 0005 00400 -3836.18492 0.10000 1.00000 0 0 0
    0.00 00120 0005 00374 -3715.55651 0.10000 1.00000 0 0 0
    0.00 00121 0005 00382 -3751.69255 0.10000 1.00000 0 0 0
    0.00 00122 0005 00387 -3766.68059 0.10000 1.00000 0 0 0
    0.00 00123 0005 00376 -3753.17697 0.10000 1.00000 0 0 0
    0.00 00124 0006 00375 -3744.19945 0.10000 1.00000 0 0 0
    0.00 00125 0005 00380 -3711.44328 0.10000 1.00000 0 0 0
    0.00 00126 0005 00394 -3759.38290 0.10000 1.00000 0 0 0
    0.00 00127 0005 00392 -3710.72793 0.10000 1.00000 0 0 0
    0.00 00128 0005 00401 -3779.80712 0.10000 1.00000 0 0 0
